Type, Count, CopyTo, Compute, CopyFrom, TotalCuda, TotalSeq
Add, 50000, 0.000091, 0.000111, 0.000020, 0.000223, 0.000142
Add, 500000, 0.000635, 0.001001, 0.000021, 0.001656, 0.001253
Add, 5000000, 0.005545, 0.008247, 0.000034, 0.013825, 0.012823
Add, 50000000, 0.053480, 0.080760, 0.000034, 0.134274, 0.126969
Mult, 50000, 0.000101, 0.000109, 0.000020, 0.000230, 0.000152
Mult, 500000, 0.000711, 0.000983, 0.000022, 0.001715, 0.001254
Mult, 5000000, 0.005575, 0.008269, 0.000033, 0.013877, 0.012787
Mult, 50000000, 0.053265, 0.080303, 0.000034, 0.133602, 0.126254
Root, 50000, 0.000042, 0.000113, 0.000019, 0.000174, 0.000240
Root, 500000, 0.000290, 0.001028, 0.000021, 0.001339, 0.002370
Root, 5000000, 0.002790, 0.008189, 0.000032, 0.011011, 0.023862
Root, 50000000, 0.027104, 0.082759, 0.000035, 0.109898, 0.247374
Squ, 50000, 0.000043, 0.000116, 0.000018, 0.000176, 0.000126
Squ, 500000, 0.000299, 0.000982, 0.000020, 0.001301, 0.001237
Squ, 5000000, 0.002860, 0.008407, 0.000030, 0.011297, 0.012640
Squ, 50000000, 0.027710, 0.079077, 0.000033, 0.106820, 0.125683
Hypot, 50000, 0.000091, 0.000116, 0.000021, 0.000227, 0.000333
Hypot, 500000, 0.000636, 0.000965, 0.000057, 0.001658, 0.003153
Hypot, 5000000, 0.005586, 0.008398, 0.000033, 0.014018, 0.030710
Hypot, 50000000, 0.053120, 0.080477, 0.000035, 0.133632, 0.305222